city,low income,medium income,high income
chicago ,184.45,125.02,85.68
denver,81.13,58.28,40.24
washington,81.56,62.62,50.95
sanJose,32.83,26.9,23.92
portland,29.05,21.01,16.74
pittsburg,44.96,31.52,33.31
orlando,30.39,26.21,20.13
milwaukee,122.99,83.91,47.11
lasVegas,95.33,59.35,46.57
LA,56.67,46.4,34.98
