city,low income,medium income,high income
chicago ,206.61,165.8,137.05
denver,102.01,90.04,68.76
washington,104.66,97.92,79.52
sanJose,46.55,42.61,43.68
portland,40.65,29.6,28.55
pittsburg,64.85,49.45,62.44
orlando,37.86,41.19,32.02
milwaukee,144.11,108.27,80.64
lasVegas,174.55,84.72,86.16
LA,76.64,64.67,60.81
